date,nav_base,nav_kd_opt
2013-09-10,541608963.2636443,541881987.2711238
2013-09-11,542531598.7636443,542965735.7711238
2013-09-12,544424909.7636443,544724525.7711238
2013-09-13,543350409.2636443,543530062.2711238
2013-09-14,541173123.7636443,541328213.7711238
2013-09-16,547890294.7636443,547931310.7711238
2013-09-17,549025634.5136443,548898841.5211238
2013-09-18,546945149.0136443,546738693.0211238
2013-09-23,555242915.5136443,554815422.5211238
2013-09-24,555096575.7636443,554724291.7711238
2013-09-25,555587869.37878,555244868.0013496
2013-09-26,546455185.37878,546354271.0013496
2013-09-27,551467213.0800761,551182446.9474059
2013-09-30,545058250.0800761,544697573.9474059
2013-10-01,546104053.8300761,545715065.6974059
2013-10-02,543369541.5800761,543163736.4474059
2013-10-03,555138728.3300761,554924792.1974059
2013-10-04,556372945.8300761,556055559.6974059
2013-10-07,555805578.3300761,555480342.1974059
2013-10-08,559320597.0800761,558853843.9474059
2013-10-09,557173885.5800761,556611490.4474059
2013-10-11,557595686.0800761,557184103.9474059
2013-10-14,555394324.3370191,554985309.3986751
2013-10-15,559801608.5870191,559218218.6486751
2013-10-16,557783632.0870191,557170750.1486751
2013-10-17,557327981.532885,556883849.6145451
2013-10-18,558467481.532885,557941449.6145451
2013-10-21,555190230.3161273,554924977.8277386
2013-10-22,554403418.0661273,554073698.5777386
2013-10-23,555191450.5661273,554796531.0777386
2013-10-24,556845020.0661273,556356358.5777386
2013-10-25,553060097.5661273,552578615.0777386
2013-10-28,557878800.5661273,557236181.0777386
2013-10-29,555286227.8161273,554996775.3277386
2013-10-30,559150468.5661273,558714312.0777386
2013-10-31,560749977.0661273,560158149.5777386
2013-11-01,556300745.3161273,555933892.8277386
2013-11-04,551054604.0661273,550793392.5777386
2013-11-05,548388990.8161273,548012807.3277386
2013-11-06,548464212.0661273,548230166.5777386
2013-11-07,545392686.5661273,545031002.0777386
2013-11-08,546787520.172233,546487537.3381717
2013-11-11,542448375.672233,542292608.8381717
2013-11-12,545487265.672233,545213974.8381717
2013-11-13,539278480.922233,539113452.0881717
2013-11-14,539489780.922233,539323252.0881717
2013-11-15,541179904.672233,541232584.8381717
2013-11-18,541948105.172233,541986527.3381717
2013-11-19,543147101.922233,543224349.0881717
2013-11-20,541664796.922233,541534973.0881717
2013-11-21,535724824.67223305,535539936.8381717
2013-11-22,539954829.672233,539645112.8381717
2013-11-25,547134032.922233,546858009.0881717
2013-11-26,546950157.172233,546530037.3381717
2013-11-27,548200271.422233,547824876.5881717
2013-11-28,551635191.922233,551243760.0881717
2013-11-29,553013491.922233,552511360.0881717
2013-12-02,552245583.422233,551815222.5881717
2013-12-03,549937910.172233,549576903.3381717
2013-12-04,551741089.172233,551483924.3381717
2013-12-05,549827777.672233,549445520.8381717
2013-12-06,546775500.672233,546462209.8381717
2013-12-09,553507856.672233,553120941.8381717
2013-12-10,556153812.422233,555636843.5881717
2013-12-11,558275479.922233,557572461.0881717
2013-12-12,552204860.172233,551595503.3381717
2013-12-13,555764789.172233,555067324.3381717
2013-12-16,551978592.672233,551280685.8381717
2013-12-17,550743462.922233,550109739.0881717
2013-12-18,550907258.922233,550346964.0881717
2013-12-19,552343606.672233,552038741.8381717
2013-12-20,550548369.172233,550345054.3381717
2013-12-23,551775565.0821134,551275202.287389
2013-12-24,551446815.0821134,550974152.287389
2013-12-25,553201888.3321134,552715921.537389
2013-12-26,554203257.5821134,553878791.787389
2013-12-27,556145275.5821134,555920972.787389
2013-12-30,562257297.0821134,562174733.287389
2013-12-31,560451737.8321134,560523725.037389
2014-01-02,561035051.5821134,560948100.787389
2014-01-03,555623535.8321134,555429392.037389
2014-01-06,553718850.8321134,553648807.037389
2014-01-07,552602288.5821134,552550127.787389
2014-01-08,553479488.5821134,553344727.787389
2014-01-09,553871005.3321134,553859269.537389
2014-01-10,554109231.3321134,554087674.537389
2014-01-13,556010414.8321134,556060013.037389
2014-01-14,556607413.5821134,556541873.787389
2014-01-15,557647165.8607166,557594840.3460109
2014-01-16,558075601.4848286,557995175.9701229
2014-01-17,557292380.7348286,557218459.2201229
2014-01-20,558544577.4848286,558455130.9701229
2014-01-21,556187045.7348286,556155724.2201229
2014-01-22,558668994.9848286,558560748.4701229
2014-01-23,555968897.2348286,555770820.7201229
2014-01-24,558318783.2348286,558350132.7201229
2014-01-27,550155767.7348286,550117457.2201229
2014-02-05,538660167.2348286,538541825.7201229
2014-02-06,539467565.7348286,539461779.2201229
2014-02-07,542974062.9848286,542825593.4701229
2014-02-10,542577688.9848286,542500798.4701229
2014-02-11,543097838.9848286,542994648.4701229
2014-02-12,547306473.7348286,547287671.2201229
2014-02-13,545140410.9848286,545019178.4701229
2014-02-14,548078776.2348286,548109073.7201229
2014-02-17,547882638.4848286,548033052.9701229
2014-02-18,551833779.7348286,551988803.2201229
2014-02-19,551658347.2348286,551874670.7201229
2014-02-20,546942638.4848286,547173852.9701229
2014-02-21,553421759.4848286,553563599.9701229
2014-02-24,551166771.2348286,551391915.7201229
2014-02-25,549312909.7348286,549469162.2201229
2014-02-26,549119041.7348286,549091981.2201229
2014-02-27,552341636.4848286,552241587.9701229
2014-03-03,547160950.2348286,547283368.7201229
2014-03-04,544205319.9848286,544272408.4701229
2014-03-05,545694649.7348286,545806955.2201229
2014-03-06,550474203.2348286,550684234.7201229
2014-03-07,553558501.8921689,553684628.4281061
2014-03-10,549530398.8921689,549762412.4281061
2014-03-11,547324237.3921689,547569508.9281061
2014-03-12,547902990.3921689,548290224.9281061
2014-03-13,546274912.1415277,546721533.6774648
2014-03-14,543622782.3915277,544133786.9274648
2014-03-17,544776148.6415277,545150215.1774648
2014-03-18,546718288.1415277,547097038.6774648
2014-03-19,544485561.6415277,544863370.1774648
2014-03-20,539249832.6415277,539771299.1774648
2014-03-21,538805543.1415277,539402546.6774648
2014-03-24,540837594.1415277,541484902.6774648
2014-03-25,542105085.1415277,542674072.6774648
2014-03-26,543815073.3915277,544384056.9274648
2014-03-27,542111617.1415277,542551241.6774648
2014-03-28,547091488.1415277,547524638.6774648
2014-03-31,550483258.1415277,550858879.6774648
2014-04-01,551248619.1415277,551684619.6774648
2014-04-02,549428617.8915277,550043256.4274648
2014-04-03,550952558.6415277,551560843.1774648
2014-04-07,549291906.1415277,549989140.6774648
2014-04-08,551836489.8915277,552320936.4274648
2014-04-09,553438339.8915277,553784436.4274648
2014-04-10,555635050.8915277,555847376.4274648
2014-04-11,554965657.3915277,555207203.9274648
2014-04-14,554280243.6415277,554652678.1774648
2014-04-15,552613986.8915277,552844270.4274648
2014-04-16,551196986.3915277,551361906.9274648
2014-04-17,553830465.3915277,553989977.9274648
2014-04-18,554547023.8915277,554689915.4274648
2014-04-21,552477805.8915277,552604084.4274648
2014-04-22,552074361.1415277,552198672.6774648
2014-04-23,550612196.8915277,550746183.4274648
2014-04-24,551789059.1415277,551905462.6774648
2014-04-25,544994392.1859827,545271407.6770016
2014-04-28,546103773.1859827,546513243.6770016
2014-04-29,548585602.1859827,549044414.6770016
2014-04-30,543867416.9359827,544147978.4270016
2014-05-02,548835712.7103357,549163352.1519713
2014-05-05,547127118.0465155,547567662.7304999
2014-05-06,550305955.5874346,550578374.7154443
2014-05-07,550558300.3374346,550833636.4654443
2014-05-08,553070385.8374346,553423434.9654443
2014-05-09,551848973.5874346,552193205.7154443
2014-05-12,548553997.0874346,548953837.2154443
2014-05-13,549719898.3374346,550069126.4654443
2014-05-14,552668328.8374346,552871693.9654443
2014-05-15,553378871.8374346,553346302.9654443
2014-05-16,554001291.0874346,554185573.2154443
2014-05-19,554454661.8374346,554687639.9654443
2014-05-20,553263906.5874346,553586630.7154443
2014-05-21,551622517.8374346,551987853.9654443
2014-05-22,558088231.8374346,558242809.9654443
2014-05-23,560856973.8374346,560926935.9654443
2014-05-26,561583051.3546742,561564971.4931082
2014-05-27,563803315.2511132,563778750.1210535
2014-05-28,569907346.9804322,569748432.591391
2014-05-29,569217140.4768336,569176317.9507607
2014-05-30,574368485.8485444,574043972.3056892
2014-06-03,574081602.9086087,573917359.0490369
2014-06-04,571062094.754362,571051563.5017548
2014-06-05,571162928.0065274,571013607.598829
2014-06-06,572058771.5065274,571862730.098829
2014-06-09,572555630.0065274,572372467.598829
2014-06-10,577018092.8373175,576894814.6117365
2014-06-11,575699163.0873175,575582817.8617365
2014-06-12,576304085.8373175,576018873.6117365
2014-06-13,576583291.5873175,576359825.3617365
2014-06-16,576361132.5873175,576189795.3617365
2014-06-17,577658195.5873175,577441745.3617365
2014-06-18,578211695.5873175,577975795.3617365
2014-06-19,578192038.3373175,578081147.1117365
2014-06-20,574599706.0054026,574762334.1273129
2014-06-23,577153091.5324757,577259803.654386
2014-06-24,579991577.0324757,580076252.154386
2014-06-25,581597976.2824757,581640026.404386
2014-06-26,584855375.5324757,584816500.654386
2014-06-27,585290220.7824757,585514775.904386
2014-06-30,586089064.2824757,586305098.404386
2014-07-01,587309188.2824757,587476193.404386
2014-07-02,588219956.2824757,588556674.404386
2014-07-03,585043897.5324757,585400306.654386
2014-07-04,585579141.0324757,585889429.154386
2014-07-07,584142893.2824757,584288801.404386
2014-07-08,589691005.7824757,589781260.904386
2014-07-09,590626720.0324757,590771750.154386
2014-07-10,595737508.0324757,595940722.154386
2014-07-11,591965068.0324757,592266411.154386
2014-07-14,594593341.7824757,595012693.904386
2014-07-15,601159433.0324757,601389744.154386
2014-07-16,598960837.0324757,599317919.154386
2014-07-17,601336273.3324757,601814435.5543861
2014-07-18,600895348.8324757,601231077.0543861
2014-07-21,601078938.3324757,601596000.5543861
2014-07-22,604896322.5824757,605272559.8043861
2014-07-24,608107115.0824757,608642299.3043861
2014-07-25,609935444.0824757,610439570.3043861
2014-07-28,617499908.0174394,618576337.2408385
2014-07-29,612606000.7674394,613363094.9908385
2014-07-30,616526329.0174394,617303190.2408385
2014-07-31,611877518.2674394,612611812.4908385
2014-08-01,606292078.6123558,607506551.6253648
2014-08-04,604426039.0155855,605151871.1602738
2014-08-05,590247653.9794035,590822944.9859998
2014-08-06,598207423.5714515,597960695.0439926
2014-08-07,600227258.5714515,599704280.0439926
2014-08-08,597383598.8714516,596881221.0439926
2014-08-11,601447928.7714516,601167941.5439926
2014-08-12,599287447.9714515,598787559.2939926
2014-08-13,605752574.3714516,605247962.2939926
2014-08-14,605996306.1714516,606003747.5439926
2014-08-15,603800800.085047,603889108.8472003
2014-08-18,600961585.685047,600584395.8472003
2014-08-19,609355666.485047,608717650.3472003
2014-08-20,615999796.285047,615071867.3472003
2014-08-21,620939831.285047,619497503.8472003
2014-08-22,630522427.085047,629651612.8472003
2014-08-25,628562266.285047,627891823.5972003
2014-08-26,627611752.485047,626543320.8472003
2014-08-27,631157450.8850471,630008650.0972003
2014-08-28,628555384.60891,627803436.9477097
2014-08-29,621450814.5117341,620505939.894629
2014-09-01,626363553.617804,626068083.5630531
2014-09-02,620739032.3066761,620900430.2945603
2014-09-03,628670115.9066762,629299260.0445603
2014-09-04,628129686.1066761,628632898.5445603
2014-09-05,624371003.5066761,625243397.2945603
2014-09-09,625852025.3066761,627146599.5445603
2014-09-10,623288431.9066762,624657559.0445603
2014-09-11,623090536.1066761,624644038.7945603
2014-09-12,620402858.3066761,621247612.2945603
2014-09-15,619326749.906676,619881752.7945603
2014-09-16,611764877.3066761,612360686.0445603
2014-09-17,615714225.1066761,616746980.0445603
2014-09-18,618002018.5066761,618922320.5445603
2014-09-19,617702531.1066761,618434164.0445603
2014-09-22,613245116.3066761,614103216.0445603
2014-09-23,611471686.9066762,612357259.0445603
2014-09-24,612471942.9066762,613129793.0445603
2014-09-25,608205594.9066762,608985218.2945603
2014-09-26,606764539.8122681,607411649.0774204
2014-09-29,602188690.2294213,603100819.418401
2014-09-30,601303715.9577111,602030814.2966908
2014-10-01,598952685.6537756,600194809.2427553
2014-10-02,595011328.0376664,597003523.4413587
2014-10-03,606110831.0376664,607664042.4413587
2014-10-06,600625904.0376666,602289265.1913587
2014-10-07,600021082.4376664,602138276.9413587
2014-10-08,601358818.0376664,603331288.9413587
2014-10-09,605705318.2654074,607031184.1618582
2014-10-13,593044814.1959367,594502382.6286366
2014-10-14,595178809.966047,596827498.3991557
2014-10-15,590251341.2567955,591986650.7113103
2014-10-16,588202513.8192915,589891823.7573636
2014-10-17,587094445.0503427,588394173.1373745
2014-10-20,589779392.1288816,591334510.099975
2014-10-21,590272002.1967336,591606496.7101325
2014-10-22,591854893.9967337,593768606.7101325
2014-10-23,593988900.6714153,596049737.609
2014-10-24,593917880.6714153,595825429.859
2014-10-27,596643719.4714154,598147136.109
2014-10-28,601465115.4714154,602872985.609
2014-10-29,606292722.8714154,607479409.609
2014-10-30,606676252.8714154,608380342.109
2014-10-31,610452188.2714154,611712533.109
2014-11-03,607981438.6714153,609425487.609
2014-11-04,607351726.1328169,608727663.244619
2014-11-05,606488565.0665259,607467913.7963153
2014-11-06,604406907.6023357,605051748.5955207
2014-11-07,600731743.8364938,601748707.4576081
2014-11-10,610107625.6802558,611271635.833185
2014-11-11,608415011.0900693,609674373.4331512
2014-11-12,602032760.9468793,602800085.0334295
2014-11-13,605237861.7468792,606433739.7834295
2014-11-14,605786308.7345961,607290046.7574109
2014-11-17,599968146.7345961,601872138.5074109
2014-11-18,603334228.7885689,605360447.22515
2014-11-19,607230353.6268505,609343472.3762097
2014-11-20,608889625.5976198,611107613.5475957
2014-11-21,607401087.9180485,609683698.2524154
2014-11-24,608314685.4350921,610611432.6977448
2014-11-25,604629466.7825085,606567981.0382293
2014-11-26,604354337.3959594,606505392.0744307
2014-11-27,606977106.4061021,609047058.2356759
2014-11-28,608974584.1740326,610774595.3665329
2014-12-01,598761307.0802635,600817360.8885329
2014-12-02,590896502.6802635,593171507.3885329
2014-12-03,595695577.2179394,598271266.9436883
2014-12-04,602551611.0179393,605103927.4436883
2014-12-05,600398059.4179394,602403463.6936883
2014-12-08,599773504.6179394,602190648.6936883
2014-12-09,600211623.4179394,602206697.1936883
2014-12-10,593750513.2179394,596325533.4436883
2014-12-11,590374560.1020118,592650937.5480515
2014-12-12,591040073.6199875,593588668.6580535
2014-12-15,588099979.5525842,590751267.8363043
2014-12-16,589594842.3727579,591931799.349797
2014-12-17,583803452.2810589,585843795.2107598
2014-12-18,588071223.4024292,590521373.3330693
2014-12-19,594886605.0024292,597330634.8330693
2014-12-22,595057605.0024292,597430534.8330693
2014-12-23,594461419.5747674,596752867.9453201
2014-12-24,599031497.4872307,601064078.4922969
2014-12-25,597544255.6015654,599477039.3209105
2014-12-26,599688531.7680866,601854063.625184
2014-12-27,597719188.7237068,599902543.4565012
2014-12-29,601559899.9944043,603700310.8554652
2014-12-30,602051913.570423,604428173.198774
2014-12-31,605057294.0017447,607140953.7232773
2015-01-05,599567723.3068149,602098063.2859929
2015-01-06,588511372.9068148,590852710.2859929
2015-01-07,586828837.6865796,589333545.815021
2015-01-08,595444501.0074952,598376594.2772738
2015-01-09,596727489.8074951,599555700.5272738
2015-01-12,595626351.5173247,598132236.8573713
2015-01-13,601748550.4324329,604315417.3772087
2015-01-14,595355089.0391848,597736121.1932693
2015-01-15,592635519.1269394,595024969.0896317
2015-01-16,592603758.1065323,594914589.3004895
2015-01-19,594984367.3065324,597394657.8004895
2015-01-20,594013328.5065324,596533951.5504895
2015-01-21,599798592.3182578,602246278.627487
2015-01-22,602437686.1182578,604774823.627487
2015-01-23,606707263.5182577,609089605.377487
2015-01-26,606594274.7182578,609003249.127487
2015-01-27,608852054.1182578,611195856.127487
2015-01-28,607001896.7182578,609467082.127487
2015-01-29,603246442.3182578,605350378.627487
2015-01-30,602355405.9182578,604378457.627487
2015-02-02,604643912.7182578,606875990.877487
2015-02-03,603718161.3182578,605851100.877487
2015-02-04,609448170.0114472,611651246.7566051
2015-02-05,611521661.2079875,613675217.6031454
2015-02-06,608745511.2079875,611207117.6031454
2015-02-09,604956424.0079876,607526982.1031454
2015-02-10,607775729.5364794,609929322.8526248
2015-02-11,608178850.6030368,610028121.1615863
2015-02-12,609064048.8685203,611199670.7907673
2015-02-13,609299078.8685201,611157713.0407673
2015-02-24,617706575.2685202,619403667.0407673
2015-02-25,621110082.6685202,622645341.0407673
2015-02-26,616485801.6685202,617544820.2907673
2015-03-02,610959970.4960941,613087766.375977
2015-03-03,612378677.4030155,613987558.6992251
2015-03-04,612573914.8030155,613939524.9492251
2015-03-05,608859766.8030155,610309400.1992251
2015-03-06,612920314.8030155,614211474.9492251
2015-03-09,607315852.8030155,608813666.6992251
2015-03-10,606956564.0030155,608551660.4492251
2015-03-11,605873570.6030154,607466719.9492251
2015-03-12,612225545.2030154,613668661.9492251
2015-03-13,609463611.2030154,610943420.6992251
2015-03-16,607426495.8030155,608851447.1992251
2015-03-17,611016462.6030154,612049470.4492251
2015-03-18,617984435.8030155,618613672.4492251
2015-03-19,622165604.4030154,622587090.1992251
2015-03-20,620486840.4030155,621141506.6992251
2015-03-23,621190660.146117,621778618.2474091
2015-03-24,622422548.21964,622994770.2874442
2015-03-25,618618894.0196401,619431390.5374442
2015-03-26,618213124.81964,619295137.5374442
2015-03-27,612050833.5130131,613283091.420682
2015-03-30,615972011.6820656,617134568.0855078
2015-03-31,620950902.0304565,621678154.9418497
2015-04-01,618725875.7424685,619823748.0624555
2015-04-02,622983748.1045189,623650503.8290706
2015-04-07,625197832.1045189,625906545.0790706
2015-04-08,621811237.3045189,622496164.5790706
2015-04-09,625553150.7045189,626360562.8290706
2015-04-10,627538514.7045189,628116546.3290706
2015-04-13,629783105.3045189,630353547.0790706
2015-04-14,630013539.7045189,630819592.8290706
2015-04-15,623303446.5045189,624015033.0790706
2015-04-16,628910795.9045188,629570997.8290706
2015-04-17,624866417.8575572,625389122.6288911
2015-04-20,625733066.0575572,625960328.1288911
2015-04-21,626824530.0575572,626960311.6288911
2015-04-22,629855475.2575572,630057896.6288911
2015-04-23,651790844.0575572,650685093.6288911
2015-04-24,653504057.6575571,652272722.6288911
2015-04-27,659328311.6575571,658377627.1288911
2015-04-28,661559436.2575572,660843469.1288911
2015-04-29,652974567.2575572,652740541.3788911
2015-04-30,647883183.2575573,647839250.1288911
2015-05-04,651130462.2575572,651909445.6288911
2015-05-05,649396143.6575571,650193827.8788911
2015-05-06,650443919.0575571,650658835.8788911
2015-05-07,643255051.6575572,643053938.6288911
2015-05-08,644467024.8575572,644438140.6288911
2015-05-11,643297814.0575572,643432601.3788911
2015-05-12,646114203.8575572,646059793.1288911
2015-05-13,650248228.2575572,649714611.3788911
2015-05-14,637409993.8575572,637642060.1288911
2015-05-15,639072567.6575571,638916747.3788911
2015-05-18,643099273.6973832,643054079.7534424
2015-05-19,645054267.0973831,645048920.2534424
2015-05-20,644101828.5093081,644186170.7804474
2015-05-21,635914799.3093082,636124794.5304474
2015-05-22,637890667.5093081,638085707.7804474
2015-05-25,635187030.8032228,635521593.474362
2015-05-26,640272033.6032227,640033633.224362
2015-05-27,642317714.8032228,642230984.724362
2015-05-28,640212019.6032227,640021749.724362
2015-05-29,641100745.9397446,640422609.5154605
2015-06-01,637917769.7397447,637749187.0154605
2015-06-02,637477507.1397446,637537743.5154605
2015-06-03,636542469.7397447,636450437.0154605
2015-06-04,625889032.1397446,626253291.5154605
2015-06-05,624165842.9397446,624713080.7654605
