code,fiscal_year,record_date,announcement_date,announcement_time,cash_ex_date,cash_payment_date,cash_dividend,stock_ex_date,stock_payment_date,stock_dividend
2880,98年,2010-08-18,2010-07-29,10:41:26,2010-08-12,2010-09-03,0.2,2010-08-12,2010-09-15,0.549999999
2880,99年,2011-08-17,2011-07-27,14:44:58,2011-08-11,2011-09-02,0.3,2011-08-11,2011-09-16,0.6
2880,100年,2011-11-13,2011-10-31,16:41:09,,,0.0,2011-11-07,,0.0
2880,100年,2012-08-21,2012-07-31,17:12:54,2012-08-15,2012-09-07,0.5,2012-08-15,2012-09-21,0.5
2880,101年,2013-08-21,2013-07-30,16:12:53,2013-08-15,2013-09-06,0.5,2013-08-15,2013-09-16,0.5
2880,102年,2014-08-22,2014-07-29,15:56:35,2014-08-14,2014-09-05,0.7,2014-08-14,2014-09-30,0.3
2880,103年,2015-08-21,2015-07-29,09:29:50,2015-08-13,2015-09-04,0.62,2015-08-13,2015-10-14,0.62
2880,104年,2016-08-25,2016-07-29,10:50:43,2016-08-18,2016-09-09,0.63,2016-08-18,2016-09-30,0.62
2880,105年,2017-08-25,2017-08-02,15:13:19,2017-08-17,2017-09-15,0.7,2017-08-17,2017-09-29,0.5
2880,106年,2018-08-24,2018-07-31,15:28:34,2018-08-16,2018-09-14,0.5,2018-08-16,2018-09-28,0.45
2880,107年,2019-08-23,2019-07-30,09:46:54,2019-08-15,2019-09-12,0.545,2019-08-15,2019-09-27,0.545
2880,108年,2020-08-21,2020-07-29,10:04:35,2020-08-13,2020-09-11,0.5603,2020-08-13,2020-09-30,0.5603
2880,109年,2021-09-24,2021-08-27,17:54:00,2021-09-16,2021-10-08,0.265,2021-09-16,2021-10-29,0.264
2880,110年,2022-08-19,2022-07-26,16:46:07,2022-08-11,2022-09-08,0.78,2022-08-11,2022-09-30,0.34
2880,111年,2023-08-25,2023-08-02,09:09:07,2023-08-17,2023-09-08,0.59,,,0.0
2880,112年,2024-08-19,2024-07-30,09:57:20,2024-08-13,2024-08-30,1.2,2024-08-13,2024-09-30,0.1
2880,113年,2025-08-19,2025-07-29,09:50:58,2025-08-13,2025-08-29,1.25,2025-08-13,2025-10-09,0.1
2880,114年,2026-08-19,2026-07-27,18:11:42,2026-08-13,2026-08-28,1.35,2026-08-13,2026-08-28,0.1
2886,98年,2010-08-17,2010-07-28,14:15:48,2010-08-11,2010-09-06,1.0,,,0.0
2886,99年,2011-08-29,2011-07-27,14:41:38,2011-08-23,2011-09-16,0.9,2011-08-23,2011-09-21,0.2
2886,100年,2012-08-14,2012-07-25,14:21:17,2012-08-08,2012-09-06,0.85,2012-08-08,2012-09-13,0.15
2886,101年,2013-08-19,2013-07-24,09:26:10,2013-08-13,2013-09-06,1.1,,,0.0
2886,102年,2013-11-04,2013-10-22,10:13:24,,,0.0,2013-10-29,,0.0
2886,102年,2014-08-19,2014-07-24,09:38:35,2014-08-13,2014-09-05,1.11,,,0.0
2886,103年,2015-08-19,2015-07-28,17:58:08,2015-08-13,2015-09-04,1.4,,,0.0
2886,104年,2015-11-08,2015-10-26,18:07:09,,,0.0,2015-11-02,,0.0
2886,104年,2016-08-21,2016-07-27,11:16:15,2016-08-15,2016-09-02,1.5,,,0.0
2886,105年,2017-08-16,2017-07-25,18:49:01,2017-08-10,2017-09-01,1.42,,,0.0
2886,106年,2018-08-15,2018-07-25,10:52:31,2018-08-09,2018-09-06,1.5,,,0.0
2886,107年,2019-08-17,2019-07-24,14:06:33,2019-08-09,2019-09-05,1.7,,,0.0
2886,108年,2020-08-19,2020-07-29,15:44:19,2020-08-13,2020-09-04,1.7,,,0.0
2886,109年,2021-08-20,2021-07-28,16:33:22,2021-08-12,2021-09-03,1.58,,,0.0
2886,110年,2022-08-19,2022-07-27,17:11:17,2022-08-11,2022-09-16,1.4,2022-08-11,2022-09-16,0.25
2886,111年,2023-08-18,2023-07-27,09:12:29,2023-08-10,2023-09-15,1.24,2023-08-10,2023-09-15,0.08
2886,不適用,2023-12-16,2023-12-01,16:39:32,,,0.0,2023-12-08,,0.0
2886,112年,2024-08-16,2024-07-23,17:46:18,2024-08-08,2024-09-13,1.5,2024-08-08,2024-09-13,0.3
2886,113年,2025-08-15,2025-07-22,17:48:58,2025-08-07,2025-09-05,1.6,,,0.0
2886,114年,2026-08-20,2026-07-29,09:14:17,2026-08-13,2026-09-04,1.75,,,0.0
2892,98年,2010-08-17,2010-07-23,16:12:05,2010-08-11,2010-09-02,0.5,2010-08-11,2010-09-24,0.25
2892,100年,2011-08-06,2011-07-22,14:21:40,2011-07-29,2011-08-23,0.3,2011-07-29,2011-09-15,0.6
2892,100年,2012-08-18,2012-07-27,10:35:21,2012-08-10,2012-09-03,0.4,2012-08-10,2012-09-21,0.6000000000000001
2892,101年,2013-08-10,2013-07-18,17:46:12,2013-08-02,2013-08-20,0.45,2013-08-02,2013-09-05,0.65
2892,102年,2014-08-09,2014-07-17,16:53:45,2014-08-01,2014-08-20,0.5,2014-08-01,2014-09-05,0.7
2892,103年,2015-08-08,2015-07-24,17:11:08,2015-07-31,2015-08-20,0.7,2015-07-31,2015-09-22,0.65
2892,104年,2016-08-13,2016-07-21,18:05:53,2016-08-05,2016-08-25,0.95,2016-08-05,2016-09-10,0.45
2892,105年,2017-08-12,2017-07-20,15:57:15,2017-08-04,2017-08-24,1.2,2017-08-04,2017-09-11,0.2
2892,106年,2018-08-18,2018-07-26,17:33:47,2018-08-10,2018-08-30,0.9,2018-08-10,2018-09-19,0.1
2892,107年,2019-08-17,2019-07-25,15:43:05,2019-08-09,2019-08-29,1.0,2019-08-09,2019-09-18,0.1
2892,108年,2020-08-15,2020-07-24,09:41:57,2020-08-07,2020-08-27,1.05,2020-08-07,2020-09-16,0.3
