order_id,signal_date,code,side,quantity,reference_close
2026-09-03-2880-BUY,2026-09-03,2880,BUY,561,43.45
2026-09-03-2886-BUY,2026-09-03,2886,BUY,483,50.4
2026-09-03-2892-BUY,2026-09-03,2892,BUY,661,36.85
2026-09-03-5880-BUY,2026-09-03,5880,BUY,913,26.7
2026-09-03-2412-SELL,2026-09-03,2412,SELL,118,138.0
2026-09-03-3045-SELL,2026-09-03,3045,SELL,138,118.0
2026-09-03-4904-SELL,2026-09-03,4904,SELL,158,103.5
2026-09-03-0050-SELL,2026-09-03,0050,SELL,131,106.2
2026-09-04-2880-BUY,2026-09-04,2880,BUY,470,44.0
2026-09-04-2886-BUY,2026-09-04,2886,BUY,417,49.55
2026-09-04-2892-BUY,2026-09-04,2892,BUY,554,37.3
2026-09-04-5880-BUY,2026-09-04,5880,BUY,776,26.65
2026-09-04-2412-SELL,2026-09-04,2412,SELL,96,137.5
2026-09-04-3045-SELL,2026-09-04,3045,SELL,112,118.0
2026-09-04-4904-SELL,2026-09-04,4904,SELL,127,104.0
2026-09-04-0050-BUY,2026-09-04,0050,BUY,37,107.9
