placebo_i,oof_cagr,oof_mdd,mdd_improve_pp,cagr_giveback_pp,ge_locked_improve
0,-0.006277657052504715,-0.16658780934899453,0.7541190689648092,9.474724757587417,False
1,0.004084704702798092,-0.1479157785191576,2.621322151948502,8.438488582057136,False
2,0.0019201058441935537,-0.1652451347510654,0.8883865287577231,8.654948467917588,False
3,0.003722011291249494,-0.1510891819843917,2.3039818054250927,8.474757923211996,False
4,-0.0024357144563252886,-0.1678654110452189,0.6263588993423719,9.090530497969473,False
5,-0.003354109607180855,-0.18410377235983844,-0.9974772321195813,9.18237001305503,False
6,0.0004186759297848397,-0.16282932635407055,1.1299673684572076,8.805091459358461,False
7,-0.004804196811319161,-0.17517795549307502,-0.10489554544323987,9.32737873346886,False
8,-0.006205216908584221,-0.1690474200169818,0.5081580021660814,9.467480743195367,False
9,0.0019531230555078771,-0.1693531724693108,0.4775827569331814,8.651646746786156,False
10,0.010180425435381668,-0.1636016336708861,1.052736636775653,7.828916508798778,False
11,-8.055826917918729e-05,-0.16617547663943988,0.7953523399202744,8.855014879254863,False
12,-0.0036821965707082294,-0.1705572182601589,0.3571781778483718,9.215178709407768,False
13,4.2132081120138665e-05,-0.1758897891938137,-0.1760789155171083,8.84274584422493,False
14,0.0036880864254111856,-0.1635563132846547,1.0572686753987925,8.478150409795827,False
15,0.009164921782572222,-0.15451571748046267,1.9613282558179956,7.930466874079722,False
16,-0.0011594818439072396,-0.17649361982949485,-0.23646197908522293,8.962907236727668,False
17,0.0017473234018778872,-0.1825021985978199,-0.8373198559177286,8.672226712149156,False
18,0.0030241555939261033,-0.15282303120453677,2.130596883410585,8.544543492944335,False
19,-0.006941596913263459,-0.20294684257341966,-2.881784253477704,9.54111874366329,False
20,-0.0012204808033148273,-0.19388776081979087,-1.9758760781148244,8.969007132668427,False
21,0.0007753393047744694,-0.16391705711093763,1.0211942927704998,8.769425121859499,False
22,-0.016532652717724527,-0.18112549470375328,-0.6996494665110653,10.500224324109396,False
23,8.025118281462795e-06,-0.16991019761520432,0.4218802423438306,8.846156540508797,False
