i,utility,s_crisis_mean_excess
0,-0.06695344418793064,-0.0006316484463994734
1,-0.04383875247784069,0.00003708691463911349
2,-0.09638370405282948,-0.0001568376447087897
3,-0.12643912142327818,-0.0008508676844691098
4,-0.08392184518013218,-0.00016977460998640896
5,-0.05744236231564076,-0.0004246618232914275
6,-0.08514256722426977,-0.00025477877178674914
7,-0.10523126109239445,-0.00009985537406302267
8,-0.057086703656203996,0.0007308786866586471
9,-0.126842981577362,-0.0008788761027764664
10,-0.04499887676754616,-0.0007055448820961984
11,-0.045459769347322376,-0.0010311709244759941
