code,role,instrument,notes
2880,soft_frozen_fin,equity,Soft-Frozen FIN sleeve — promote-gate minimum
2886,soft_frozen_fin,equity,Soft-Frozen FIN sleeve — promote-gate minimum
2892,soft_frozen_fin,equity,Soft-Frozen FIN sleeve — promote-gate minimum
5880,soft_frozen_fin,equity,Soft-Frozen FIN sleeve — promote-gate minimum
2412,telecom,equity,E22 books telecom sleeve — promote-gate minimum
3045,telecom,equity,E22 books telecom sleeve — promote-gate minimum
4904,telecom,equity,E22 books telecom sleeve — promote-gate minimum
0050,etf,etf,ETF rules separate; not equity CIL promote gate
2330,expand,equity,Future expansion; not Soft-Frozen promote-gate
2884,expand,equity,Future expansion; not Soft-Frozen promote-gate
2885,expand,equity,Future expansion; not Soft-Frozen promote-gate
2890,expand,equity,Future expansion; not Soft-Frozen promote-gate
2891,expand,equity,Future expansion; not Soft-Frozen promote-gate
2881,expand,equity,Future expansion; not Soft-Frozen promote-gate
2882,expand,equity,Future expansion; not Soft-Frozen promote-gate
2801,expand,equity,Future expansion; not Soft-Frozen promote-gate
2834,expand,equity,Future expansion; not Soft-Frozen promote-gate
